"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"STRENGTH & STABILITY @ RATNER","Strength","STRENGTH & STABILITY workout at Ratner 4 sets: 6 min row/airbike/elliptical/stairstepper/treadmill (choose/alternate) Pushups Squats Sit-ups Lunges with decreasing number of exercise counts: 22/17/11/6. If you finish early, begin the sequence again. Be sure to drink water as needed but between sets at a minimum. Feel free to break the higher exercises counts into sets as well, e.g., subsets of 4 sets of 5 or 2 sets of 10. To make it more challenging, feel free to increase the starting exercise count, e.g., 25 or 30. You can also hold dumbbells or weight balls when squaring, doing sit-ups, and/or lunging. Listen to your body and don’t go crazy, especially if you are newer to strength training.","","","2026-01-01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim Endurance 208: 2800yds as 6x400m","Swim","ENDURANCE SWIM Try to repeat 4x 400m (yd) with the same or gradually improving time (or pace per 100m) and consistent stroke rate or SWOLF (swim efficiency score = stroke rate + time). If completing this workout in open water, aim to simply conduct ~400m repeats between easy to spot landmarks or buoys! WARMUP: 100m warmup 50m kick 50m pull MAIN: 6x400m - steady endurance pace COOLDOWN: 100m easy === NO POOL ACCESS? Try this dryland circuit using resistance band ""stetch cords"": SWIM STRENGTH 201: SWIMGYM ""Resistance Cord Circuit"" (12min): https://www.youtube.com/watch?v=lwUNIp8qkVk Ideally take 15s recovery between each exercise and add in additional breaks as needed. Complete as one complete circuit or smaller circuits of up to 4 exercises repeated multiple times with breaks in between: - 30s Row - 30s Tricep Push Out ""Finish"" - 30s Internal Rotation (15s/arm) - 30s External Rotation (15s/arm) - 30s Double Arm Pull - 30s Back Fly - 30s Shoulder Fly (stand on cord) - 30s Bicep Curl - 30s Banded Squats - 30s Leg Press (laying on ground, 15s/leg) - 30s Banded Deadlifts (stand on cord) - 30s Thrusters","0.635277777777778","2560.32006835938","2026-01-01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run Track 3x1600m MILERS (PACE)","Run","It's time for MILE REPEATS! Perform this ""speedwork"" interval workout ideally on a soft running track on treadmill. Each hard interval should be at or around your 5k pace - above threshold! -------------- MILE REPEATS: - 2 laps (0.5 mile) warmup jog w/ 2-4 striders - 3x 1600m (3x 1mile) w/ roughly 3-4min of walking or light jogging between intervals - 2 laps (0.5 mile) cooldown job at social pace -------------- FOCUS: CADENCE Focus on high cadence (over 175 steps per minute) and good running form. Visit www.goodformrunning.com for tips! --------------- POST RUN: Conduct ~10 mins dynamic stretching post-run: - Forward lunges (arms up to stretch hip flexors) - Leg swings (side to side and front-back) - Knee hug glute stretches","0.659722222222222","7644.00830078125","2026-01-02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim Endurance 209: 1.2-mile Race Prep TT or 3x 800yd","Swim","Break your endurance swims up into longer sets of 500-800 yards or more, or go for a continuous non-stop ""time trial"" effort or outdoor open water swim. Limit rest stops between sets to under 15 seconds so you can get a good amount of yardage in with mi! --------- Goal: 1.2+ miles = 2112y / 1931m WARMUP: 1x 200y - Warmup 1-3x 100y - Count your strokes, lower the count with more gliding and finishing w/ a flick! MAIN SET: Non-stop 1.2mile Time Trial - or - 3x 800y - Even pace, w/ strong final 50m (15s R.I.) COOLDOWN: 1x 200y - Cooldown","0.648611111111111","2651.76000976563","2026-01-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DAY OFF or XT (Z2-3)","Day Off","DAY OFF If you're not feeling 100% today, consider enjoying a day off! Stay off your feet or simply relax and give yourself extra down time with your feet up (or get some extra sleep/nap time in)! OPTIONAL CROSS TRAINING (XT) or STRENGTH Optionally, if you're feeling well rested and want to get some activity in today, simply conduct light strength training, mobility work, or ""active recovery"" exercises such as low impact, low intensity swimming, cycling, running, rowing, yoga, pilates, etc. but aim to keep your heart rate at a low ""Zone 2-3"" effort. After working out, make sure to spend time foam rolling and conducting range of motion (leg swings, knee hugs, toy soldiers) or light stability exercises (squats, lunges, etc.)... think RECOVERY focus!","","","2026-01-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Triathlete: As you get started...","Other","Thank you for using my training plan. To help you get the most from it, here are a few suggestions and explanations. Feel free to follow up with an email if you are confused (joe@joefrieltraining.com). 1. The daily workouts may be rearranged to better suit your lifestyle. While I've arranged them each day in an order that is usually best, it may not suit your unique situation. 2. Common abbreviations used in this plan: Swim: WU=warm-up, MS=main set, CD=cool down. Strength: RM=repetition max (heaviest load you can lift one time for a given exercise—see Training Bible for strength session details on AA, MT, MS, and SM workouts). Other: HR=heart rate, FTP=functional threshold power, FTHR=functional threshold heart rate, FTPa=functional threshold pace 3. If you have questions about other terms used here, see my Triathlete's Training Bible Glossary for explanations. You may also check out my website (https://joefrieltraining.com/) for details on training methods. Use the ""Search"" function. 4. Workouts are also explained in my Triathlete's Training Bible in Appendixes B, C, D, and E. 5. At the end of this plan you may purchase another that takes up where this one leaves off by going to https://www.trainingpeaks.com/coach/joe-friel#trainingplans. 6. I really want to see you succeed with your event goal and I'd like to hear how this plan worked out for you. Please drop me a short email and let me know how you did and what you thought of this plan. Good luck! Joe Friel","","","2026-01-05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AA, 3-4 sets","Strength","Strength: After warm-up on a stationary bike, treadmill, or other, do 3-4 sets of Anatomical Adaptation (AA) phase. Cool down with 5-10 minutes of spinning in easy gear/resistance at high rpm on a stationary bike. For details on strength training, turn to Chapter 13 in The Triathlete's Training Bible.","1","","2026-01-05","Some abbreviations used in this plan: WU=warm-up, CD=cool down, MS=main set, sec=seconds, min=minutes, RM=repetitions max (the most reps possible for a given load).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SS1. 5 Basic Strides 45min RPE","Run","(This is best outdoors but may be done on a treadmill.) Warm up for about 20 minutes. Then run 5x20 seconds fast on a soft, gentle downhill (such as on grass in a park or other soft surface). Run at approximately 400m race pace (RPE 9, or about pace zone 5b)—not quite all-out speed. Focus on run technique as discussed and shown in the drawings in Chapter 12 of The Triathlete’s Training Bible, 4th edition. Hold back a little on each 20-second stride. You’re working on technique—not speed. Stay relaxed on each stride. Walk (yes, ""walk"") back to start point for each recovery. Run easily to cool down to complete the planned workout duration. Note that this workout uses RPE due to the very short intervals and walking recoveries.","0.75","","2026-01-06","Note that the daily workouts are in no particular order. They may be done in the order that best suits your lifestyle and energy demands.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1. Aerobic Intervals/PDLC 1500y","Swim","(You may substitute a masters swim workout.) WU: 100 swim easy, (10 sec rest), 50 moderately fast, (10 sec rest), 100 swim moderate, (10 sec rest), 50 swim moderately fast, (10 sec rest), 100 swim build speed, (10 sec), 50 swim fast. MS: For the first set decrease times with each work interval. All aerobic—easy breathing. 4 x 100 moderate (10 sec rest between). Rest 2 minutes. 300 slow and easy. Form! 6 x 25 relaxed speed (15 sec). CD: 200 easy swim. Total: 1500 OR ALTERNATIVE PDLC SWIM (your choice): For 30-45 minutes, swim 25 repeats moderately fast while focusing on only Posture, Direction, Length, or Catch. (20-30 sec rest after each)","0.410773999955919","1371.60009765625","2026-01-06","See The Triathlete's Training Bible, chapter 12 (editions 4 or 5) for details on PDLC. Swim abbreviations: WU = warm-up, MS = main set, CD = cool down","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1. Easy Ride 1h Power","Bike","Ride in power zones 1-2, but mostly zone 1. Flat course or indoor trainer. Low effort—light on pedals. Comfortably high rpm.","1","","2026-01-06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
